C30ECK10	C30ECK11	C30ECK12	C30ECK46	C30ECK47	C30ECK48	C30ECK83	C30ECK84	T30ECK28	T30ECK29	T30ECK64	T30ECK65	T30ECK66	T30ECK100	T30ECK101	T30ECK102
LOC100740276	4.85518440287245	5.11992593150043	5.04955797522227	5.02659824678874	4.44813904355788	5.28783499609604	5.81978025181656	4.91915637110474	4.80141848044921	4.93867773860781	5.53273975270315	5.04801877317157	5.30565747207568	4.95849116561576	5.59547935896366	4.75203707643174
LOC100740157	7.75148351391351	7.55166557485322	7.38405186837588	7.08942720263435	7.25437890168991	7.35724116445821	7.6874413583897	7.35750145766106	7.63749469426609	7.66305903080136	7.49559792273988	7.11359776980297	7.44578778364715	7.32456211804637	7.33669967472301	7.40228426120808
LOC100742884	6.8645924052289	6.63798648572857	6.5794619608718	6.95758588830821	7.04824961991152	6.91070969218697	6.63613683982183	6.69507604527687	6.69364937499547	6.79046938198092	6.70976840905072	6.58692632180267	6.60792267035356	6.92629359633493	6.54066322560793	7.16372155889084
LOC100740399	6.63228365026004	6.41444926459478	6.71877334513933	6.294372784186	6.36709167162431	6.53149479310126	6.56967168820727	6.38789707060015	6.15306525724309	6.40510887442227	6.28906852335318	6.58692632180267	6.47796788543496	6.53615292722847	6.27649112293853	6.27343457153783
LOC100740519	8.19062134400547	8.11936541171591	8.29394809547261	8.13973219957557	8.38373021730038	7.75747694589503	7.86405978186991	8.18998337052737	7.9324414351414	7.98447665981575	7.96849147703045	8.06485335171462	8.75917460951832	8.17283942305291	8.11607981265499	8.00363873899953
LOC100743001	8.11022263732659	8.05767208128547	7.81206544895768	8.25821427567899	8.04525951467097	8.24663229145608	8.30581133385306	7.96971505195236	8.46791906873457	8.30600216498119	8.12083781002335	8.14558651361454	8.33680579616377	8.25376981875248	8.10653250957575	8.20837238292706
LOC100740639	6.90874626413385	7.08280054069342	6.74062425035194	7.00981382336941	6.93224375713044	7.10377936148927	6.71474225190683	6.97205739760434	7.15916182106158	7.14320113738886	6.87240621941179	7.05794732008724	6.68009042387346	6.99232003834826	6.98033583211949	7.38531900966793
LOC100743123	7.93956499108301	7.67391599835349	7.22667612776764	7.50395352527346	7.76237043652683	7.99293011250695	7.73188536755098	7.73324474032837	7.44109500916206	7.58767808012874	7.85702552503847	6.75713601995374	7.72351402181065	7.49135797724616	7.80930301045028	7.73806837792159
LOC100743242	8.6349761730649	8.5126825303827	8.22100844778387	8.19360894925074	8.27183697268124	8.3312324122722	8.16786380745774	8.61550784581351	8.10203049654249	8.30210668499037	8.66658009252722	7.94202442672638	7.94614037454747	8.29682484399717	8.64649938249091	8.33162630383911
LOC100740882	6.33271936961058	6.26649885897979	6.47755036115645	5.8991693461505	6.07355052672236	6.2671725024733	6.56967168820727	6.1754586094322	6.343395308062	6.49478247675557	6.36086186496587	6.07029318465411	5.80115731132475	6.44194159565484	6.27649112293853	6.43918363760057
LOC100740760	7.41193173867633	8.2582840180379	9.04563742278863	7.08942720263435	7.14484470127873	7.57156698633133	7.44136611725831	7.94914715027202	7.8352090446691	8.20109791085492	7.49559792273988	6.64614534720318	6.91545422911344	7.25536711571195	7.26894399075578	7.16372155889084
LOC100741004	9.63836938358866	9.31867288889038	8.80813370554106	9.13459852189223	9.19158008462886	9.42133046861163	8.86016811053813	9.3541345095101	9.04483709344998	8.77316925985966	9.35380263123291	8.49743848733129	9.02025028173628	9.06339338508062	9.31236887820897	9.10650875485115
LOC100741124	7.72761882274874	7.99318325674509	7.68696963371819	8.00548234199466	7.90785051389519	7.81273663288998	7.09723263207206	7.88559304862578	7.00082068663971	7.54176487432254	7.72970857112418	7.3042884823924	7.70142455863327	7.42229895467383	7.49293670955702	7.32425909882383
LOC100741243	6.77167447769552	6.65257142180187	6.26117330442531	6.08200408179041	6.2701684683322	6.17049300701916	6.44445111964354	6.45136138314392	6.26541814304861	6.3085756240513	6.55457321519622	6.07029318465411	6.09727072873501	6.5209232935509	6.54066322560793	6.25357541007627
LOC100743364	10.3453650867418	9.85638638784031	9.74912697961621	9.97586480708726	9.92935297098813	10.2086753017223	10.1199296428025	10.3250309394873	10.1914161724623	10.0519729052494	10.0308624087976	9.78606990688368	9.98308693629231	10.0621542806739	10.2132980253505	9.93138343860037
